"CountryCode","Year","Sex","LifeExpectancyAt60"
"BGD",2015,"MLE",20.49308
"BGD",2019,"MLE",20.25749
"BGD",2000,"FMLE",18.70139
"BGD",2010,"FMLE",20.14058
"BGD",2015,"FMLE",21.36941
"BGD",2019,"FMLE",21.53054
"BGD",2000,"BTSX",17.84105
"BGD",2010,"BTSX",19.0189
"BGD",2015,"BTSX",20.9037
"BGD",2019,"BTSX",20.86123
"BGR",2000,"MLE",15.8561
"BGR",2010,"MLE",16.69488
"BGR",2015,"MLE",17.05957
"BGR",2019,"MLE",17.40699
"BGR",2000,"FMLE",19.19707
"BGR",2010,"FMLE",20.92172
"BGR",2015,"FMLE",21.50453
"BGR",2019,"FMLE",21.97048
"BGR",2000,"BTSX",17.59515
"BGR",2010,"BTSX",18.91896
"BGR",2015,"BTSX",19.40438
"BGR",2019,"BTSX",19.81913
"BHR",2000,"MLE",14.45724
"BHR",2010,"MLE",17.37833
"BHR",2015,"MLE",19.38643
"BHR",2019,"MLE",18.72444
"BHR",2000,"FMLE",15.61054
"BHR",2010,"FMLE",18.26713
"BHR",2015,"FMLE",19.95009
"BHR",2019,"FMLE",19.36007
"BHR",2000,"BTSX",14.96732
"BHR",2010,"BTSX",17.82102
"BHR",2015,"BTSX",19.67225
"BHR",2019,"BTSX",19.00567
"BHS",2000,"MLE",18.2528
"BHS",2010,"MLE",19.00824
"BHS",2015,"MLE",19.30309
"BHS",2019,"MLE",19.1216
"BHS",2000,"FMLE",21.36606
"BHS",2010,"FMLE",22.21572
"BHS",2015,"FMLE",22.27824
"BHS",2019,"FMLE",22.3939
"BHS",2000,"BTSX",19.94577
"BHS",2010,"BTSX",20.69643
"BHS",2015,"BTSX",20.87737
"BHS",2019,"BTSX",20.8422
"BIH",2000,"MLE",17.6779
"BIH",2010,"MLE",18.21702
"BIH",2015,"MLE",18.26916
"BIH",2019,"MLE",18.59314
"BIH",2000,"FMLE",21.09557
"BIH",2010,"FMLE",21.03172
"BIH",2015,"FMLE",21.25263
"BIH",2019,"FMLE",21.56212
"BIH",2000,"BTSX",19.57512
"BIH",2010,"BTSX",19.72854
"BIH",2015,"BTSX",19.84803
"BIH",2019,"BTSX",20.16114
"BLR",2000,"MLE",14.06548
"BLR",2010,"MLE",14.13965
"BLR",2015,"MLE",15.6741
"BLR",2019,"MLE",16.03965
"BLR",2000,"FMLE",19.44722
"BLR",2010,"FMLE",20.51221
"BLR",2015,"FMLE",21.87248
"BLR",2019,"FMLE",22.48084
"BLR",2000,"BTSX",17.15109
"BLR",2010,"BTSX",17.72123
"BLR",2015,"BTSX",19.22635
"BLR",2019,"BTSX",19.71866
"BLZ",2000,"MLE",17.02209
"BLZ",2010,"MLE",20.55608
"BLZ",2015,"MLE",20.39749
"BLZ",2019,"MLE",20.31975
"BLZ",2000,"FMLE",20.72923
"BLZ",2010,"FMLE",22.15227
"BLZ",2015,"FMLE",22.75498
"BLZ",2019,"FMLE",22.92542
"BLZ",2000,"BTSX",18.73611
"BLZ",2010,"BTSX",21.29657
"BLZ",2015,"BTSX",21.47434
"BLZ",2019,"BTSX",21.53238
